"Edicao (PTBR)","Edicao (EN)","Edicao (Sigla)","Card (PT)","Card (EN)",Quantidade,"Qualidade (M NM SP MP HP D)","Idioma (BR EN DE ES FR IT JP KO RU TW)",Raridade,"Cor (C D O E Y F R G L M P W)",Extras,"Card #",Comentario,"# Cards na Edicao"
,Gothic,GOTH,,"Sea of Ash",,,,UN,0,,GOTH-0349,,
,Gothic,GOTH,,"Sea Witch",,,,O,W,,GOTH-0348,,
,Gothic,GOTH,,"Search Party",,,,O,E,,GOTH-0350,,
,Gothic,GOTH,,"Searing Truth",,,,EX,F,,GOTH-0351,,
,Gothic,GOTH,,"Second Wind",,,,O,A,,GOTH-0352,,
,Gothic,GOTH,,"Sensu of the Fang",,,,EX,0,,GOTH-0353,,
,Gothic,GOTH,,"Sentinel Trap",,,,EL,0,,GOTH-0354,,
,Gothic,GOTH,,Seraphim,,,,EL,W,,GOTH-0355,,
,Gothic,GOTH,,"Serava Townsfolk",,,,O,W,,GOTH-0356,,
,Gothic,GOTH,,"Sewer Rats",,,,O,W,,GOTH-0357,,
,Gothic,GOTH,,"Shackled Demon",,,,EL,F,,GOTH-0358,,
,Gothic,GOTH,,"Shallow Grave",,,,EX,0,,GOTH-0359,,
,Gothic,GOTH,,Shoggoth,,,,O,W,,GOTH-0360,,
,Gothic,GOTH,,"Shrike Orchard",,,,EL,0,,GOTH-0361,,
,Gothic,GOTH,,"Silent Hills",,,,O,0,,GOTH-0362,,
,Gothic,GOTH,,"Silver Bullet",,,,EL,0,,GOTH-0363,,
,Gothic,GOTH,,"Sinister Pond",,,,EL,0,,GOTH-0364,,
,Gothic,GOTH,,Sinterfee,,,,EX,F,,GOTH-0365,,
,Gothic,GOTH,,"Sister Stefania",,,,UN,E,,GOTH-0366,,
,Gothic,GOTH,,Sjaelstrom,,,,EL,A,,GOTH-0367,,
,Gothic,GOTH,,"Skeleton Mage",,,,EX,A,,GOTH-0368,,
,Gothic,GOTH,,"Slimy Mutants",,,,O,W,,GOTH-0369,,
,Gothic,GOTH,,Slobbermaw,,,,EX,F,,GOTH-0370,,
,Gothic,GOTH,,Smite,,,,O,E,,GOTH-0371,,
,Gothic,GOTH,,Snallygaster,,,,O,A,,GOTH-0372,,
,Gothic,GOTH,,"Sold-out Cemetery",,,,EL,0,,GOTH-0373,,
,Gothic,GOTH,,"Sow the Earth",,,,UN,E,,GOTH-0374,,
,Gothic,GOTH,,"Sphere of Animosity",,,,EL,A,,GOTH-0375,,
,Gothic,GOTH,,"Sphinx Sarcophagus",,,,EL,0,,GOTH-0376,,
,Gothic,GOTH,,"Spire (Preconstructed Deck)",,,,O,0,,GOTH-0442,,
,Gothic,GOTH,,"Spore Spouts",,,,O,0,,GOTH-0377,,
,Gothic,GOTH,,Stagecoach,,,,EL,A,,GOTH-0378,,
,Gothic,GOTH,,Stargazer,,,,EL,A,,GOTH-0379,,
,Gothic,GOTH,,"Static Servant",,,,O,A,,GOTH-0380,,
,Gothic,GOTH,,"Stinging Kelp",,,,O,0,,GOTH-0381,,
,Gothic,GOTH,,"Stitched Abomination",,,,EL,A,,GOTH-0382,,
,Gothic,GOTH,,"Stream (Preconstructed Deck)",,,,O,0,,GOTH-0443,,
,Gothic,GOTH,,Sturmgeist,,,,EL,A,,GOTH-0383,,
,Gothic,GOTH,,"Stygian Archers",,,,EX,A,,GOTH-0384,,
,Gothic,GOTH,,"Survivors of Serava",,,,O,W,,GOTH-0385,,
,Gothic,GOTH,,Swap,,,,EX,W,,GOTH-0386,,
,Gothic,GOTH,,"Symmetric Suffering",,,,EL,W,,GOTH-0387,,
,Gothic,GOTH,,"Tabula Rasa",,,,UN,0,,GOTH-0388,,
,Gothic,GOTH,,"Temple of Moloch",,,,UN,0,,GOTH-0389,,
,Gothic,GOTH,,"Ten-tonne Slug",,,,O,W,,GOTH-0390,,
,Gothic,GOTH,,"The Apex of Babel",,,,UN,0,,GOTH-0391,,
,Gothic,GOTH,,"The Base of Babel",,,,EX,0,,GOTH-0392,,
,Gothic,GOTH,,"The Doom of Dilmun",,,,UN,A,,GOTH-0393,,
,Gothic,GOTH,,"The Empyrean",,,,UN,0,,GOTH-0394,,
,Gothic,GOTH,,"The Flood",,,,UN,W,,GOTH-0395,,
,Gothic,GOTH,,"The Hexham Haunts",,,,UN,A,,GOTH-0396,,
,Gothic,GOTH,,"The Inquisition",,,,UN,F,,GOTH-0397,,
,Gothic,GOTH,,"The Malleus Maleficarum",,,,UN,0,,GOTH-0398,,
,Gothic,GOTH,,"The Manor at Daperyll Hill",,,,UN,0,,GOTH-0399,,
,Gothic,GOTH,,"The Pallid Bust",,,,UN,0,,GOTH-0400,,
,Gothic,GOTH,,"The Rack",,,,UN,0,,GOTH-0401,,
,Gothic,GOTH,,"The Void",,,,UN,0,,GOTH-0402,,
,Gothic,GOTH,,"Thin Ice",,,,EX,0,,GOTH-0403,,
,Gothic,GOTH,,"Thing in the Ice",,,,UN,W,,GOTH-0404,,
,Gothic,GOTH,,"Those Who Linger",,,,EX,A,,GOTH-0405,,
,Gothic,GOTH,,"Thumb Screws",,,,EX,0,,GOTH-0406,,
,Gothic,GOTH,,"Tombstone Wardens",,,,EL,0,,GOTH-0407,,
,Gothic,GOTH,,Toolbox,,,,EX,0,,GOTH-0408,,
,Gothic,GOTH,,"Torch and Pitchfork",,,,O,0,,GOTH-0409,,
,Gothic,GOTH,,"Torrid Omphalos",,,,UN,0,,GOTH-0410,,
,Gothic,GOTH,,"Town Priest",,,,EX,E,,GOTH-0411,,
,Gothic,GOTH,,"Trade Encampment",,,,EL,0,,GOTH-0412,,
,Gothic,GOTH,,"Trial by Fire",,,,O,F,,GOTH-0413,,
,Gothic,GOTH,,"Trial by Water",,,,O,W,,GOTH-0414,,
,Gothic,GOTH,,"Troubled Town",,,,O,0,,GOTH-0415,,
,Gothic,GOTH,,"Twilight Bloom",,,,O,0,,GOTH-0416,,
,Gothic,GOTH,,"Undead Ambush",,,,EX,A,,GOTH-0417,,
,Gothic,GOTH,,Undesirables,,,,O,E,,GOTH-0418,,
,Gothic,GOTH,,"Valley (Preconstructed Deck)",,,,O,0,,GOTH-0444,,
,Gothic,GOTH,,"Vampire Bats",,,,O,A,,GOTH-0419,,
,Gothic,GOTH,,"Vandal Imp",,,,O,F,,GOTH-0420,,
,Gothic,GOTH,,"Varistus the Evictor",,,,UN,E,,GOTH-0421,,
,Gothic,GOTH,,"Vast Desert",,,,O,0,,GOTH-0422,,
,Gothic,GOTH,,"Vesper Swarm",,,,EX,A,,GOTH-0423,,
,Gothic,GOTH,,"Vindictive Nation",,,,EL,0,,GOTH-0424,,
,Gothic,GOTH,,"Virgin in Prayer",,,,O,E,,GOTH-0425,,
,Gothic,GOTH,,"Wasteland (Preconstructed Deck)",,,,O,0,,GOTH-0445,,
,Gothic,GOTH,,"Watery Grave",,,,UN,0,,GOTH-0426,,
,Gothic,GOTH,,"Wave of Eviction",,,,EX,W,,GOTH-0427,,
,Gothic,GOTH,,"Weathered Trunks",,,,O,W,,GOTH-0428,,
,Gothic,GOTH,,"Wiccan Tools",,,,O,0,,GOTH-0429,,
,Gothic,GOTH,,"Wild Fanatic",,,,O,F,,GOTH-0430,,
,Gothic,GOTH,,"Willing Tribute",,,,O,A,,GOTH-0431,,
,Gothic,GOTH,,"Winter Nymph",,,,EX,W,,GOTH-0432,,
,Gothic,GOTH,,"Witching Hour",,,,EX,A,,GOTH-0433,,
,Gothic,GOTH,,"Wreathed in Righteousness",,,,EX,F,,GOTH-0434,,
,Gothic,GOTH,,"Wuthering Heights",,,,EL,0,,GOTH-0435,,
,Gothic,GOTH,,Yog-Sothoth,,,,UN,W,,GOTH-0436,,
,Gothic,GOTH,,"Young Master Damion",,,,UN,A,,GOTH-0437,,
,Gothic,GOTH,,Zap!,,,,O,A,,GOTH-0438,,
,Gothic,GOTH,,"Zeppelin of Zealots",,,,EX,F,,GOTH-0439,,
,Gothic,GOTH,,"Zombie Bruiser",,,,EX,E,,GOTH-0440,,
,Gothic,GOTH,,"Zombie Horde",,,,O,E,,GOTH-0441,,
